Barbuscula,27.1,-17.1
Barbuscula,27.1,-16.1
Barbuscula,37.1,-17.58
Barbuscula,28.1,-16.1
Barbuscula,28.1,-17.1
Barbuscula,37.29,-17.14
Barbuscula,37.11,-17.36
Barbuscula,28.16642,-17.29615
Barbuscula,37.11,-17.47
Barbuscula,37.29,-17.14
Barbuscula,37.63,-18.05
Barbuscula,36.66,-17.34
Barbuscula,37.1,-17.58
Barbuscula,36.72,-18.35
Barbuscula,37.29,-17.14
Barbuscula,37.1,-17.58
Barbuscula,27.76,-17.98
Bboissieri,36.80608,-3.81535
Bboissieri,36.90422,-4.08031
Bboissieri,36.97218,-3.69552
Bboissieri,37.07408,-3.52365
Bboissieri,36.91353,-3.32545
Bboissieri,37.11599,-3.47831
Bboissieri,36.92687,-3.30906
Bboissieri,36.89792,-3.711
Bboissieri,36.85504,-3.71466
Bboissieri,37.05444,-3.54854
Bboissieri,36.84924,-3.81305
Bboissieri,37.42216,-3.42432
Bboissieri,36.98464,-3.51482
Bboissieri,36.86752,-3.83926
Bboissieri,36.89283,-3.70994
Bboissieri,37.12789,-3.48966
Bboissieri,37.03934,-3.59877
Bboissieri,37.22152,-3.37904
Bboissieri,36.86016,-3.64288
Bboissieri,36.91,-3.73
Bboissieri,37.07921,-3.51689
Bboissieri,37.05759,-3.51743
Bboissieri,36.86834,-3.8694
Bboissieri,36.87054,-3.90431
Bboissieri,37.21695,-3.40872
Bboissieri,36.98465,-3.76359
Bboissieri,36.89716,-3.57535
Bboissieri,37.05937,-3.48634
Bboissieri,36.89016,-4.03921
Bboissieri,37.04877,-3.50144
Bboissieri,36.92406,-3.77656
Bboissieri,37.0507,-3.51944
Bboissieri,36.86697,-3.79065
Bboissieri,37.14399,-3.49008
Bboissieri,36.91708,-3.78788
Bboissieri,37.11142,-3.49234
Bboissieri,36.90657,-4.0876
Bboissieri,36.89655,-3.67513
Bboissieri,36.86455,-3.8065
Bboissieri,36.8426,-3.81644
Bboissieri,37.37065,-3.42212
Bboissieri,36.97348,-3.72386
Bboissieri,37.22844,-3.45575
Bboissieri,37.06529,-3.52478
Bboissieri,36.97215,-3.71005
Bboissieri,37.23487,-3.50529
Bboissieri,36.96365,-3.69457
Bboissieri,36.90191,-3.63998
Bboissieri,36.83119,-3.64434
Bboissieri,37.05008,-3.49406
Bboissieri,37.0758,-3.51482
Bboissieri,37.03854,-3.55033
Bboissieri,37.28831,-3.44366
Bboissieri,37.28596,-3.36425
Bboissieri,36.83221,-3.95285
Bboissieri,36.87292,-3.90674
Bboissieri,37.38549,-3.35301
Bboissieri,36.88835,-4.03648
Bboissieri,36.7867,-3.82171
Bboissieri,37.02925,-3.55118
Bboissieri,36.90363,-3.90371
Bboissieri,36.82535,-3.91193
Bboissieri,36.9381,-4.06496
Bboissieri,36.91474,-3.63267
Bboissieri,36.87014,-3.66655
Bboissieri,36.98759,-3.5238
Bboissieri,36.90405,-4.02276
Bboissieri,37.29922,-3.64156
Bboissieri,36.86448,-3.66583
Bboissieri,37.11618,-3.44159
Bboissieri,37.12543,-3.51044
Bboissieri,36.80544,-3.81469
Bboissieri,36.86,-3.79
Bboissieri,36.90406,-4.02222
